"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 22 08:16:39 UTC 2025","Tue Apr 22 08:16:41 UTC 2025","1366","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","locateTheSendButtonByAttribute","By attribute",""
"passed","Tue Apr 22 08:15:41 UTC 2025","Tue Apr 22 08:15:43 UTC 2025","1777","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Adjustable Wrench, price=20.33]",""
"passed","Tue Apr 22 08:16:18 UTC 2025","Tue Apr 22 08:16:19 UTC 2025","1358","","Interacting with text fields","","org.sashiba.PlaywrightFormsTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory fields [1] fieldName=First name",""
"passed","Tue Apr 22 08:15:26 UTC 2025","Tue Apr 22 08:15:28 UTC 2025","2780","","org.sashiba.login.LoginWithRegisteredUserTest","","org.sashiba.login.LoginWithRegisteredUserTest","shouldRejectUserWithInvalidPassword","Should reject a user if they provide a wrong password",""
"passed","Tue Apr 22 08:16:16 UTC 2025","Tue Apr 22 08:16:17 UTC 2025","949","","Locating elements using CSS","","org.sashiba.PlaywrightLocatorsTest$LocatingElementsUsingCSS","byCSSClass","By CSS class",""
"passed","Tue Apr 22 08:17:05 UTC 2025","Tue Apr 22 08:17:11 UTC 2025","5597","","Shopping Cart - Annotated","","org.sashiba.toolshop.catalog.AddToCartAnnotatedTest","whenCheckingOutASingleItem","whenCheckingOutASingleItem()",""
"passed","Tue Apr 22 08:16:11 UTC 2025","Tue Apr 22 08:16:12 UTC 2025","1486","","org.sashiba.PlaywrightWaitsTest.WaitingForState","","org.sashiba.PlaywrightWaitsTest$WaitingForState","shouldShowAllProductImages","shouldShowAllProductImages()",""
"passed","Tue Apr 22 08:15:38 UTC 2025","Tue Apr 22 08:15:39 UTC 2025","1771","","org.sashiba.PlaywrightRestAPITest.MakingAPICalls","","org.sashiba.PlaywrightRestAPITest$MakingAPICalls","checkKnownProducts","Check presence of known products Checking product Product[name=Court Hammer, price=18.63]",""
"passed","Tue Apr 22 08:16:44 UTC 2025","Tue Apr 22 08:16:45 UTC 2025","1049","","Contact form","","org.sashiba.toolshop.contact.ContactFormTest","invalidEmailField","The email address must be correctly formatted 'notanemail' should be rejected",""
"passed","Tue Apr 22 08:15:15 UTC 2025","Tue Apr 22 08:15:16 UTC 2025","1140","","org.sashiba.AnAnnotatedPlaywrightTest","","org.sashiba.AnAnnotatedPlaywrightTest","pageTitleTest","pageTitleTest(Page)",""
